book_number,start_chapter,start_verse
1,1,1
1,2,4
1,3,1
1,4,1
1,4,17
1,5,1
1,6,1
1,6,9
1,7,1
1,8,1
1,9,1
1,9,18
1,10,1
1,11,1
1,11,10
1,12,1
1,12,10
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,17,15
1,18,1
1,18,16
1,19,1
1,19,15
1,19,30
1,20,1
1,21,1
1,21,8
1,21,22
1,22,1
1,22,20
1,23,1
1,24,1
1,24,10
1,24,28
1,24,50
1,24,62
1,25,1
1,25,12
1,25,19
1,26,1
1,26,12
1,26,34
1,27,1
1,27,30
1,27,41
1,28,10
1,29,1
1,29,15
1,29,31
1,30,25
1,31,1
1,31,22
1,31,43
1,32,1
1,32,22
1,33,1
1,34,1
1,34,13
1,34,25
1,35,1
1,35,16
1,36,1
1,36,20
1,36,31
1,37,1
1,37,12
1,38,1
1,38,12
1,39,1
1,40,1
1,41,1
1,41,25
1,41,37
1,41,46
1,42,1
1,42,25
1,43,1
1,43,15
1,44,1
1,44,18
1,45,16
1,46,1
1,46,8
1,46,28
1,47,13
1,47,27
1,48,1
1,49,1
1,49,16
1,49,29
1,50,15
1,50,22
2,1,1
2,2,1
2,2,11
2,2,16
2,2,23
2,3,1
2,3,13
2,4,18
2,4,27
2,5,1
2,5,15
2,5,22
2,6,14
2,6,28
2,7,8
2,7,14
2,7,25
2,8,16
2,8,20
2,9,1
2,9,8
2,9,13
2,10,1
2,10,21
2,12,1
2,12,14
2,12,21
2,12,29
2,12,33
2,12,43
2,13,1
2,13,17
2,14,1
2,14,15
2,15,1
2,15,22
2,16,1
2,16,22
2,17,1
2,17,8
2,18,1
2,18,13
2,19,1
2,19,16
2,20,1
2,20,18
2,20,22
2,21,1
2,21,12
2,21,28
2,22,1
2,22,16
2,23,1
2,23,10
2,23,20
2,24,1
2,24,12
2,25,1
2,25,10
2,25,23
2,25,31
2,26,1
2,26,15
2,26,31
2,27,1
2,27,9
2,27,20
2,28,1
2,28,6
2,28,15
2,28,31
2,29,1
2,29,22
2,29,38
2,30,1
2,30,11
2,30,17
2,30,22
2,30,34
2,31,1
2,31,12
2,32,1
2,32,15
2,32,30
2,33,1
2,33,7
2,33,12
2,34,1
2,34,10
2,34,29
2,35,1
2,35,4
2,35,30
2,36,8
2,36,20
2,37,1
2,37,10
2,37,17
2,37,25
2,38,1
2,38,9
2,38,21
2,39,1
2,39,8
2,39,22
2,39,32
2,40,1
2,40,17
2,40,34
3,1,1
3,2,1
3,3,1
3,4,1
3,4,13
3,4,22
3,4,27
3,5,14
3,6,1
3,6,8
3,6,14
3,6,24
3,7,11
3,7,22
3,7,28
3,8,1
3,8,14
3,9,1
3,10,1
3,10,8
3,10,12
3,11,1
3,11,24
3,11,41
3,12,1
3,13,1
3,13,18
3,13,24
3,13,29
3,13,38
3,13,45
3,13,47
3,14,1
3,14,21
3,14,33
3,14,54
3,15,1
3,15,16
3,15,19
3,15,25
3,15,31
3,16,1
3,16,20
3,17,1
3,17,10
3,18,1
3,18,6
3,18,19
3,19,1
3,19,19
3,19,30
3,20,1
3,20,9
3,20,22
3,21,1
3,21,16
3,22,1
3,22,17
3,22,26
3,23,1
3,23,9
3,23,15
3,23,23
3,23,26
3,23,33
3,24,1
3,24,10
3,25,1
3,25,8
3,25,23
3,25,35
3,25,47
3,26,1
3,26,14
3,26,34
3,26,40
3,27,1
3,27,9
3,27,14
3,27,16
3,27,26
4,1,1
4,1,20
4,1,47
4,2,1
4,3,1
4,3,5
4,3,14
4,3,40
4,4,1
4,4,21
4,4,29
4,4,34
4,5,1
4,5,5
4,5,11
4,6,1
4,6,22
4,7,1
4,7,12
4,7,24
4,7,36
4,7,48
4,7,60
4,7,72
4,7,84
4,7,89
4,8,1
4,8,5
4,8,23
4,9,1
4,9,15
4,10,1
4,10,11
4,10,29
4,10,33
4,11,1
4,11,4
4,11,10
4,11,16
4,11,24
4,11,31
4,12,1
4,13,1
4,13,17
4,13,26
4,14,11
4,14,20
4,14,39
4,15,1
